date,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,HOMICIDE,MOTOR VEHICLE THEFT,NARCOTICS,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,THEFT,WEAPONS VIOLATION
2014-03-02,34,129,22,3,54,2,27,78,5,9,2,95,3
2014-03-03,40,106,24,4,45,0,28,82,7,21,0,95,3
2014-03-04,50,106,19,1,57,1,19,92,4,18,5,117,5
2014-03-05,35,104,31,1,54,0,25,93,2,15,2,150,5
2014-03-06,41,107,36,2,52,0,15,99,9,17,1,143,6
2014-03-07,41,127,41,4,66,1,19,96,11,23,1,165,11
2014-03-08,42,119,26,2,74,0,22,78,8,19,1,145,9
2014-03-09,43,131,13,5,78,1,16,79,10,21,0,121,11
2014-03-10,58,124,33,6,88,1,30,102,14,24,2,178,11
2014-03-11,62,131,38,4,55,1,30,94,7,16,1,115,6
2014-03-12,44,90,30,2,68,0,30,92,3,13,5,128,3
2014-03-13,41,119,23,2,59,0,29,99,4,23,2,138,7
2014-03-14,50,145,44,1,82,1,33,80,16,19,0,174,12
2014-03-15,43,184,32,5,104,2,24,71,14,25,7,177,8
2014-03-16,38,160,21,4,82,0,26,62,2,17,2,128,8
2014-03-17,45,112,43,2,67,0,24,84,9,15,1,152,9
2014-03-18,47,142,49,2,83,2,29,91,7,34,1,176,4
2014-03-19,42,118,34,3,75,1,24,89,4,21,2,170,9
2014-03-20,54,134,41,5,68,1,37,107,10,20,1,143,10
2014-03-21,65,147,46,3,65,3,26,84,8,27,2,159,9
2014-03-22,34,151,34,4,81,0,31,83,6,27,4,159,11
2014-03-23,40,143,26,1,68,0,30,79,6,12,3,132,5
2014-03-24,54,119,45,2,58,1,35,86,10,20,1,145,3
2014-03-25,30,102,41,1,65,1,35,85,4,22,2,159,5
2014-03-26,53,120,41,3,60,0,40,101,4,17,1,149,4
2014-03-27,41,109,59,3,65,0,34,82,3,15,3,158,8
2014-03-28,39,131,49,2,86,1,41,88,11,35,2,155,4
2014-03-29,43,153,33,3,99,0,39,89,6,23,3,153,10
2014-03-30,41,157,19,4,104,0,40,75,7,16,1,149,5
2014-03-31,51,131,36,1,74,2,41,58,14,22,1,148,18
2014-04-01,53,125,35,7,91,1,24,101,6,15,6,212,9
2014-04-02,38,136,30,4,72,0,18,103,6,27,5,134,7
2014-04-03,41,108,38,5,63,1,20,99,12,17,1,181,4
2014-04-04,45,136,54,5,88,0,24,95,7,22,1,175,8
2014-04-05,40,156,29,4,94,2,18,81,4,26,0,177,10
2014-04-06,48,165,19,4,92,1,18,85,8,16,3,134,18
2014-04-07,43,132,45,3,66,1,36,93,11,22,6,154,5
2014-04-08,44,131,44,4,74,0,19,104,9,22,1,149,12
2014-04-09,53,141,40,1,75,1,22,105,7,16,3,139,12
2014-04-10,57,126,40,3,77,0,29,100,13,29,3,166,10
2014-04-11,48,150,36,3,69,3,26,105,16,19,2,149,12
2014-04-12,47,208,33,10,99,0,27,79,10,32,6,158,18
2014-04-13,42,166,28,5,88,2,19,54,4,29,4,122,8
2014-04-14,38,120,39,5,81,1,29,61,3,25,1,151,5
2014-04-15,44,99,33,1,82,1,38,87,0,31,2,153,9
2014-04-16,40,126,39,1,76,0,21,83,7,25,3,190,5
2014-04-17,48,115,43,1,85,0,22,151,5,27,7,167,8
2014-04-18,36,138,50,3,84,0,24,83,6,35,0,184,8
2014-04-19,44,137,31,5,96,6,21,90,7,35,2,164,8
2014-04-20,40,166,32,6,88,3,17,70,11,22,7,123,7
2014-04-21,52,131,34,4,76,0,21,79,11,20,2,157,10
2014-04-22,42,141,27,0,59,0,26,90,8,29,2,172,6
2014-04-23,47,125,42,3,75,1,31,73,5,22,1,169,10
2014-04-24,56,129,37,2,95,2,27,69,6,19,1,167,13
2014-04-25,59,159,40,2,94,0,24,94,10,25,2,187,14
2014-04-26,44,174,34,3,90,4,15,76,9,33,5,176,12
