city,epoch,crime_type,trigger,trigger_family,lag,mean_raw,n_days_epoch,R2_A,R2_B,n_target,n_ctrl,g,var_g,p_mw,p_mw_fdr,delta_pct,g_lo,g_hi,qp_coef,qp_p,model_disagree,p_perm_14,p_perm_28,p_perm_circ,slice_g_1,slice_g_2,slice_g_3,slice_g_4,slice_g_5,slice_sign_frac,slice_g_iqr,n_slices_valid,g_placebo_mean,p_placebo_emp,argmax_lag,status_flag,config_hash
nyc_ems,PRE2014,ABDPN,PHASE_Syzygy,PHASE,1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,247,2167,0.021422119662680705,0.004510145592513857,0.8600791004144919,0.9990533220984475,0.19595191483354757,,,,,,,,,,,,,,,,,,,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_Syzygy,PHASE,WIN3,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,741,2167,0.0014074641290187007,0.0018109954726995767,0.9934486500385621,0.9934486500385621,0.012899969817570245,-0.07455682783474264,0.08822822920329737,0.000632356733774795,0.8705249583385344,0.0,0.971,0.983,0.978,-0.004958352645639396,-0.05939577468233536,-0.01892693758841889,0.035731430375528936,0.05778701242914282,0.4,0.054658367963947824,5.0,-0.0010082770690182416,0.97,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_Quadrature,PHASE,-1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,248,2167,-0.05734260327151241,0.004494406876718659,0.31530946636872625,0.9974630741851355,-0.5220102841480112,,,,,,,,,,,,,,,,,,,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_Quadrature,PHASE,0,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,248,2167,0.016920254473849223,0.004493784854518391,0.9125015456276891,0.9983855909334398,0.1553417132786894,-0.11409949302259544,0.14467384927345478,0.0020505673133115014,0.7408663081069709,0.0,0.805,0.791,0.808,0.046666469340021804,-0.04755019129968783,0.16362986472564253,0.032924019783768715,-0.1160890146677143,0.6,0.09421666063970963,5.0,-0.0077044923478251336,0.75,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_Quadrature,PHASE,1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,248,2167,0.02179695667019646,0.0044938239784944834,0.7808815980810833,0.9990533220984475,0.2004600457506056,,,,,,,,,,,,,,,,,,,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_Quadrature,PHASE,WIN3,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,744,2167,-0.006094482712020563,0.001805559872153407,0.7459814528313187,0.9934486500385621,-0.05594998962601405,-0.08859940241826214,0.07319313756096933,-0.000664657601641333,0.8638284261189977,0.0,0.886,0.894,0.867,0.08400121826261663,-0.02654705301721209,0.059017906083618454,-0.02734929807000576,-0.12231889063293686,0.6,0.08636720415362421,5.0,-0.00010621160973442262,0.895,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_Full,PHASE,-1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,123,2167,-0.11530283801844625,0.008594454087386141,0.1743886207328743,0.9974630741851355,-1.046768187530811,,,,,,,,,,,,,,,,,,,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_Full,PHASE,0,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,123,2167,0.06198998733774972,0.008592388531021419,0.531138351523477,0.9983855909334398,0.5709171801162816,-0.13408899018709483,0.2760199451971714,0.005671465743710163,0.510541041380959,0.0,0.491,0.474,0.468,0.17995410061275965,0.10004164722527767,-0.02062339419349437,0.054120617410034974,-0.002722161518348426,0.6,0.10276380874362609,5.0,0.017560255622248246,0.515,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_Full,PHASE,1,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,123,2167,0.018322148184405994,0.008591622128614067,0.946631408324691,0.9990533220984475,0.16742723981688634,,,,,,,,,,,,,,,,,,,-1,OK,bd64cffe73
nyc_ems,PRE2014,ABDPN,PHASE_Full,PHASE,WIN3,160.52026286966046,3652,0.5459932221717555,0.5466413918259525,369,2167,-0.011507875039709722,0.0031715206976725293,0.7152692151171153,0.9934486500385621,-0.1051794740906109,-0.11734479433665698,0.09899889914122484,-0.0012913417592030837,0.803095025605375,0.0,0.855,0.842,0.792,0.0608013642537543,-0.08223840613860381,-0.1709812640573964,0.04925459234960161,0.09891956991346033,0.4,0.1430397703923581,5.0,-0.010480296507054919,0.83,-1,OK,bd64cffe73
